Category B Theory test revision question bank February 2025,,,,,,,,,,,,,,,,,,,,,,
Item,Topic,Answer,Stem,Mark Answer,OptionA,OptionB,OptionC,OptionD,Expl text,List Amendments,NI Exempt,Stem.gif,A.gif,B.gif,C.gif,D.gif,Stem HiRes,A HiRes,B HiRes,C HiRes,D HiRes,Cat B Book XRefs
AB2001,Alertness ,C,What should you do before making a U-turn?,Mark one answer,Give an arm signal as well as using your indicators,Check road markings to see that U-turns are permitted ,Look over your shoulder for a final check,Select a higher gear than normal,"If you have to make a U-turn, slow down and make sure that the road is clear in both directions. Make sure that the road is wide enough for you to carry out the manoeuvre safely. Use your mirrors and look round to check it's safe before turning across the road.","29/01/2016:  Continuation question re-written for accessibility
28/8/2018:  Received a complaint to say option B was correct - it isn't, but its almost a semantics issue so Option B amended to improve clarity.
25/7/2019:  Change following 2019 review
7/2/2025:  Ensure to make sure",,,,,,,,,,,,"DES s4, 9, HC r159, 161"
AB2003,Alertness ,B,What should you do as you approach this bridge?,Mark one answer,Move to the right,Slow down,Change gear,Keep to 30 mph,"You should slow down and be cautious. Hump bridges are often narrow and there may not be enough room for you to pass an oncoming vehicle at this point. Also, there's no footpath, so be aware of pedestrians in the road.","7/8/2015:  Amended made during the global change to 'Mark one answer'
29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,AB2003n1.gif,,,,,IMG_1263.jpg,,,,,"DES s6, 10, HC r166"
AB2005,Alertness ,D,Where should you avoid overtaking?,Mark one answer,Just after a bend,In a one-way street,On a dual carriageway,Approaching a dip in the road,"Oncoming vehicles or other hazards can be hidden from view by dips in the road. If you cannot see into the dip, wait until you have a clear view and can see that it's safe before starting to overtake.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
6/1/2023:  Changed due to Wales introduction of 20 mph limit.
24/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s7, HC r166"
AB2007,Alertness ,C,What does this curved arrow road marking mean?,Mark one answer,Heavy vehicles should take the next road on the left to avoid a weight limit,The road ahead bends to the left,Overtaking traffic should move back to the left,The road ahead has a camber to the left,"In this picture, the road marking shows that overtaking drivers or riders need to return to the left. These markings show the direction drivers must pass hatch markings or solid double white lines. They're also used to show the route that high vehicles should take under a low arched bridge. ","29/01/2016:  Continuation question re-written for accessibility
24/2/2017:  Colin Thornicroft reviewed and said he found the image confusing - he didn't know which road marking so the image has been changed and the question amended to suit.
24/5/2019:  Editorial amend to explanation
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS",,AB2007n1.gif,,,,,IMG_1887.jpg,,,,,"DES s7, HC r128, KYTS p75"
AB2008,Alertness ,C,What should you do if your mobile phone rings while you're driving or riding?,Mark one answer,Stop immediately,Answer it immediately,Leave it until you have stopped in a safe place,Pull up at the nearest kerb,"It’s illegal to use a hand-held mobile or similar device when driving or riding, except in a genuine emergency. The safest option is to switch off your mobile phone before you set off, and use a message service. If you've forgotten to switch your phone off and it rings, you should leave it. When you've stopped in a safe place, you can see who called and return the call if necessary.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s1, HC r149, 271"
AB2009,Alertness ,C,Why are these yellow lines painted across the road?,Mark one answer,To help you choose the correct lane,To help you keep the correct separation distance,To make you aware of your speed,To tell you the distance to the roundabout,These lines are often found on the approach to a roundabout or a dangerous junction. They give you extra warning to adjust your speed. Look well ahead and do this in good time.,"25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS",,AB2009n1.gif,,,,,85BW9937.jpg,,,,,"DES s6, KYTS p81"
AB2501,Alertness ,C,What should you do when you're approaching traffic lights that have been green for some time?,Mark one answer,Accelerate hard,Maintain your speed,Be ready to stop,Brake hard,"The longer traffic lights have been green, the sooner they'll change. Allow for this as you approach traffic lights that you know have been green for a while. They're likely to change soon, so you should be prepared to stop.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,DES s6
AB2636,Alertness ,B,What should you do before slowing down or stopping your vehicle?,Mark one answer,Sound the horn,Use the mirrors,Select a higher gear,Flash the headlights,"Before slowing down or stopping, check the mirrors to see what's happening behind you. Also assess what's ahead and make sure you give the correct signal if it will help other road users.","09/02/2016:  AB and BB Items edited by TSO for style and removal of 'of the following' in the stem
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s4, HC r161"
AB2702,Alertness ,C,You're following a large vehicle. Why should you stay a safe distance behind it?,Mark one answer,You'll be able to corner more quickly,You'll help the large vehicle to stop more easily,You'll give the driver a chance to see you in their mirrors,You'll keep out of the wind better,"If you're following a large vehicle but are so close to it that you cannot see its exterior mirrors, the driver will not be able to see you. Keeping well back will also allow you to see the road ahead by looking past the large vehicle.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
24/9/2024:  Remove negative contractions",,,,,,,,,,,,"DES s10, HC r221"
AB2828,Alertness ,B,Why should you use your mirrors when you see a hazard ahead? ,Mark one answer,Because you'll need to accelerate out of danger,To assess how your actions will affect the traffic behind,Because you'll need to brake sharply and stop,To check what's happening on the road ahead,"You should be constantly scanning the road for clues about what's going to happen next. Check your mirrors regularly, particularly as soon as you spot a hazard. What's happening behind may affect how you respond to hazards ahead.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"?DES s4, 10, HC r161"
